Budget Analysis
Feb-2010,-116771
Mar-2010,429100
Apr-2010,1366401
May-2010,1923782
Jun-2010,2268809
Jul-2010,2103597
Aug-2010,2366596
Sep-2010,3450866
Oct-2010,3841218
Nov-2010,3815292
Dec-2010,4763529
Jan-2011,4851607
Feb-2011,6054694
Mar-2011,6224733
Apr-2011,6299454
May-2011,6682268
Jun-2011,6966030
Jul-2011,7771185
Aug-2011,7970890
Sep-2011,7938868
Oct-2011,7972033
Nov-2011,8707914
Dec-2011,9265820
Jan-2012,10889270
Feb-2012,10586561
Mar-2012,11201657
Apr-2012,10918023
May-2012,10968651
Jun-2012,11265778
Jul-2012,11626960
Aug-2012,13517378
Sep-2012,13910200
Oct-2012,13998108
Nov-2012,14721817
Dec-2012,15047207
Jan-2013,15555758
Feb-2013,16102173
Mar-2013,16902277
Apr-2013,17298726
May-2013,17601007
Jun-2013,17596411
Jul-2013,17674815
Aug-2013,17542757
Sep-2013,19606866
Oct-2013,20205753
Nov-2013,21761623
Dec-2013,21479046
Jan-2014,21664472
Feb-2014,21914500
Mar-2014,21958286
Apr-2014,22244227
May-2014,22979247
Jun-2014,23399069
Jul-2014,23577792
Aug-2014,23644975
Sep-2014,23346216
Oct-2014,23266767
Nov-2014,23555983
Dec-2014,23435362
Jan-2015,23163531
Feb-2015,23001944
Mar-2015,23182295
Apr-2015,24574805
May-2015,25284069
Jun-2015,26064158
Jul-2015,26508653
Aug-2015,26535814
Sep-2015,26835169
Oct-2015,27370986
Nov-2015,27249371
Dec-2015,27339018
Jan-2016,27556902
Feb-2016,29525173
Mar-2016,30568003
Apr-2016,30678744
May-2016,31100919
Jun-2016,31255842
Jul-2016,33287523
Aug-2016,33585508
Sep-2016,33684942
Oct-2016,34450141
Nov-2016,34522111
Dec-2016,35329007
Jan-2017,36058661
Feb-2017,36255446
